#                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
IMG646311953|IMG646311953                     -           1159 COG0085              -           1067         0 1689.8   0.0   1   2  1.8e-191  6.3e-188  628.1   0.0    11   473    25   486    17   498 0.97 -
IMG646311953|IMG646311953                     -           1159 COG0085              -           1067         0 1689.8   0.0   2   2         0         0 1058.3   1.5   475  1062   543  1130   518  1134 0.98 -
IMG2506520040|IMG2506520040                   -           1227 COG0085              -           1067         0 1663.8   0.0   1   2  1.7e-184  5.9e-181  605.0   0.0     8   473    27   521    22   531 0.95 -
IMG2506520040|IMG2506520040                   -           1227 COG0085              -           1067         0 1663.8   0.0   2   2         0         0 1056.4   0.4   463  1061   601  1198   593  1203 0.98 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_20 -           1154 COG0085              -           1067         0 1654.6   0.0   1   2  1.1e-193  3.8e-190  635.4   0.0     8   473    13   485     8   495 0.96 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_20 -           1154 COG0085              -           1067         0 1654.6   0.0   2   2         0         0 1016.7   0.5   475  1064   539  1127   527  1130 0.98 -
IMG2508501111|IMG2508501111                   -           1217 COG0085              -           1067         0 1645.3   0.0   1   2  9.8e-188  3.4e-184  615.7   0.0     9   473    28   511    21   526 0.94 -
IMG2508501111|IMG2508501111                   -           1217 COG0085              -           1067         0 1645.3   0.0   2   2         0         0 1027.5   0.0   466  1060   594  1187   588  1193 0.99 -
IMG2561511072|IMG2561511072                   -           1165 COG0085              -           1067         0 1643.0   0.0   1   2  5.2e-185  1.8e-181  606.7   0.0     9   473    10   489     3   531 0.95 -
IMG2561511072|IMG2561511072                   -           1165 COG0085              -           1067         0 1643.0   0.0   2   2         0         0 1034.1   0.2   474  1064   551  1139   545  1142 0.98 -
IMG646311962|IMG646311962                     -           1203 COG0085              -           1067         0 1623.8   0.0   1   2  2.8e-182  9.8e-179  597.6   0.0     7   479    18   535    12   552 0.94 -
IMG646311962|IMG646311962                     -           1203 COG0085              -           1067         0 1623.8   0.0   2   2         0         0 1023.1   1.0   474  1059   583  1173   575  1178 0.98 -
IMG2510461066|IMG2510461066                   -           1385 COG0085              -           1067         0 1602.8   0.2   1   3     7e-24   2.5e-20   73.2   0.0     8    97    27   117    21   152 0.88 -
IMG2510461066|IMG2510461066                   -           1385 COG0085              -           1067         0 1602.8   0.2   2   3  8.8e-156  3.1e-152  509.9   0.0    82   471   187   620   159   631 0.90 -
IMG2510461066|IMG2510461066                   -           1385 COG0085              -           1067         0 1602.8   0.2   3   3  4.5e-306  1.6e-302 1007.5   2.4   463  1061   701  1356   696  1360 0.98 -
IMG2540341062|IMG2540341062                   -           1273 COG0085              -           1067         0 1570.7   0.0   1   3    5e-181  1.8e-177  593.5   0.0    10   500    14   513     7   522 0.91 -
IMG2540341062|IMG2540341062                   -           1273 COG0085              -           1067         0 1570.7   0.0   2   3  1.2e-220  4.3e-217  724.7   0.0   475   923   534   980   520   987 0.98 -
IMG2540341062|IMG2540341062                   -           1273 COG0085              -           1067         0 1570.7   0.0   3   3     7e-77   2.4e-73  248.7   0.1   923  1060  1065  1202  1022  1207 0.91 -
IMG2140918011|IMG2140918011                   -           1304 COG0085              -           1067         0 1539.1   0.0   1   3  2.8e-166  9.8e-163  544.7   0.0    11   473     6   495     2   504 0.92 -
IMG2140918011|IMG2140918011                   -           1304 COG0085              -           1067         0 1539.1   0.0   2   3  5.8e-221    2e-217  725.7   0.1   465   921   539   994   534  1000 0.98 -
IMG2140918011|IMG2140918011                   -           1304 COG0085              -           1067         0 1539.1   0.0   3   3     1e-81   3.6e-78  264.7   0.2   921  1059  1130  1268  1101  1274 0.93 -
UBA4733|DHIZ01000377.1|UBA4733_contig_2137_2  -            502 COG0085              -           1067  1.9e-146  490.8   0.0   1   1  6.4e-150  2.2e-146  490.5   0.0    11   427     3   447     1   450 0.96 -
UBA5189|DHWF01000025.1|UBA5189_contig_3789_1  -            370 COG0085              -           1067  5.3e-116  389.9   0.0   1   1  1.8e-119  6.4e-116  389.7   0.0     9   358    14   370     8   370 0.96 -
UBA4669|DHLL01000174.1|UBA4669_contig_6666_9  -            240 COG0085              -           1067   1.1e-82  279.7   0.0   1   1   3.3e-86   1.2e-82  279.5   0.0   102   337     2   240     1   240 0.96 -
UBA4733|DHIZ01000277.1|UBA4733_contig_1107_30 -             80 COG0085              -           1067     8e-18   64.9   0.1   1   1   2.5e-21   8.9e-18   64.7   0.1  1010  1063     1    53     1    57 0.90 -
UBA4733|DHIZ01000377.1|UBA4733_contig_2137_1  -            127 COG0085              -           1067   1.2e-13   51.0   0.0   1   1   3.7e-17   1.3e-13   50.9   0.0   474   540    61   127    37   127 0.90 -
IMG646311962|IMG646311962                     -           1408 COG0086              -           1183         0 1832.5   1.0   1   3   1.8e-86   6.7e-83  280.6   0.1     5   166     3   164     1   221 0.86 -
IMG646311962|IMG646311962                     -           1408 COG0086              -           1183         0 1832.5   1.0   2   3         0         0 1287.6   0.0   145   999   324  1171   315  1192 0.98 -
IMG646311962|IMG646311962                     -           1408 COG0086              -           1183         0 1832.5   1.0   3   3   1.1e-80     4e-77  261.5   0.1   963  1159  1196  1392  1177  1401 0.93 -
IMG646311953|IMG646311953                     -           1479 COG0086              -           1183         0 1820.5   1.2   1   3   4.9e-84   1.8e-80  272.6   0.0     5   210    18   221    14   252 0.77 -
IMG646311953|IMG646311953                     -           1479 COG0086              -           1183         0 1820.5   1.2   2   3         0         0 1276.7   0.0   143  1000   332  1174   323  1180 0.98 -
IMG646311953|IMG646311953                     -           1479 COG0086              -           1183         0 1820.5   1.2   3   3   1.4e-82   5.3e-79  267.7   0.9   942  1168  1183  1403  1176  1420 0.87 -
IMG2506520040|IMG2506520040                   -           1501 COG0086              -           1183         0 1789.4  14.3   1   3   1.1e-86     4e-83  281.4   0.6     5   208     3   215     1   227 0.81 -
IMG2506520040|IMG2506520040                   -           1501 COG0086              -           1183         0 1789.4  14.3   2   3         0         0 1245.9   0.6   143  1014   317  1224   310  1230 0.97 -
IMG2506520040|IMG2506520040                   -           1501 COG0086              -           1183         0 1789.4  14.3   3   3   5.9e-83   2.2e-79  269.0   1.1   962  1175  1230  1445  1215  1455 0.89 -
IMG2561511072|IMG2561511072                   -           1448 COG0086              -           1183         0 1787.4   1.4   1   3   3.3e-87   1.2e-83  283.1   0.5     5   212     3   210     1   230 0.79 -
IMG2561511072|IMG2561511072                   -           1448 COG0086              -           1183         0 1787.4   1.4   2   3         0         0 1240.5   0.0   143   998   319  1176   314  1184 0.98 -
IMG2561511072|IMG2561511072                   -           1448 COG0086              -           1183         0 1787.4   1.4   3   3   1.9e-80     7e-77  260.7   0.1   963  1167  1205  1409  1188  1418 0.94 -
IMG2140918011|IMG2140918011                   -           1417 COG0086              -           1183         0 1753.7   0.0   1   3   9.5e-78   3.6e-74  251.7   2.0     6   199     3   199     1   228 0.78 -
IMG2140918011|IMG2140918011                   -           1417 COG0086              -           1183         0 1753.7   0.0   2   3         0         0 1242.7   0.0   145  1000   320  1177   291  1190 0.97 -
IMG2140918011|IMG2140918011                   -           1417 COG0086              -           1183         0 1753.7   0.0   3   3   2.5e-78   9.6e-75  253.6   0.0   963  1160  1198  1395  1176  1404 0.92 -
IMG2510461066|IMG2510461066                   -           1589 COG0086              -           1183         0 1742.3  18.5   1   4     6e-84   2.3e-80  272.3   1.9     5   203     3   204     1   240 0.75 -
IMG2510461066|IMG2510461066                   -           1589 COG0086              -           1183         0 1742.3  18.5   2   4  7.1e-205  2.7e-201  672.8   0.2   144   549   318   725   309   745 0.95 -
IMG2510461066|IMG2510461066                   -           1589 COG0086              -           1183         0 1742.3  18.5   3   4  5.2e-167    2e-163  547.4   0.1   553  1003   786  1261   759  1265 0.95 -
IMG2510461066|IMG2510461066                   -           1589 COG0086              -           1183         0 1742.3  18.5   4   4   3.2e-80   1.2e-76  259.9   1.0   938  1160  1264  1480  1259  1503 0.90 -
IMG2508501111|IMG2508501111                   -           1543 COG0086              -           1183         0 1737.0   4.7   1   3   1.3e-84   4.8e-81  274.5   0.0     5   210     3   206     1   227 0.79 -
IMG2508501111|IMG2508501111                   -           1543 COG0086              -           1183         0 1737.0   4.7   2   3         0         0 1197.7   0.0   145  1003   321  1235   310  1238 0.96 -
IMG2508501111|IMG2508501111                   -           1543 COG0086              -           1183         0 1737.0   4.7   3   3   2.9e-81   1.1e-77  263.4   0.8   962  1165  1256  1459  1239  1475 0.94 -
IMG2540341062|IMG2540341062                   -           1295 COG0086              -           1183         0 1732.8   5.2   1   3   4.4e-82   1.6e-78  266.1   0.3     4   195     2   198     1   206 0.85 -
IMG2540341062|IMG2540341062                   -           1295 COG0086              -           1183         0 1732.8   5.2   2   3         0         0 1210.0   0.0   142   999   207  1046   196  1055 0.98 -
IMG2540341062|IMG2540341062                   -           1295 COG0086              -           1183         0 1732.8   5.2   3   3   3.6e-79   1.4e-75  256.4   2.0   939  1159  1060  1274  1050  1289 0.90 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_21 -           1564 COG0086              -           1183         0 1731.3  22.5   1   5   2.6e-18   9.9e-15   54.9   0.0     5    46     3    44     1    47 0.95 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_21 -           1564 COG0086              -           1183         0 1731.3  22.5   2   5     1e-59   3.9e-56  192.0   0.5    46   176   106   234   102   292 0.80 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_21 -           1564 COG0086              -           1183         0 1731.3  22.5   3   5  8.4e-150  3.2e-146  490.4   2.3   144   430   337   623   329   628 0.97 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_21 -           1564 COG0086              -           1183         0 1731.3  22.5   4   5  3.1e-227  1.2e-223  746.8   0.4   424  1002   686  1282   685  1296 0.96 -
UBA5177|DHWR01000174.1|UBA5177_contig_1880_21 -           1564 COG0086              -           1183         0 1731.3  22.5   5   5   5.3e-80     2e-76  259.2   0.3   958  1158  1304  1503  1286  1524 0.91 -
UBA4733|DHIZ01000277.1|UBA4733_contig_1107_29 -           1519 COG0086              -           1183         0 1661.4   5.4   1   4   1.1e-25   4.2e-22   79.3   0.0     5    56     3    54     1    59 0.95 -
